Rank,Rating,Title,Ratings,Variance,Confidences,URL’s,Review Title,Review Text,Decision,Area Chair’s Comment
178,6.75,Automatically Composing Representation Transformations as a Means for Generalization,"6,7,7",0.47,"2,3,3",https://openreview.net/forum?id=B1ffQnRcKX,,,,
179,6.73,Spherical CNNs on Unstructured Grids,"6,7,7",0.47,"3,3,5",https://openreview.net/forum?id=Bkl-43C9FQ,,,,
180,6.73,Off-Policy Evaluation and Learning from Logged Bandit Feedback: Error Reduction via Surrogate Policy,"6,8,6",0.94,"4,4,3",https://openreview.net/forum?id=HklKui0ct7,,,,
181,6.73,Learning Finite State Representations of Recurrent Policy Networks,"6,7,7",0.47,"3,3,5",https://openreview.net/forum?id=S1gOpsCctm,,,,
182,6.73,Disjoint Mapping Network for Cross-modal Matching of Voices and Faces,"7,6,7",0.47,"4,3,4",https://openreview.net/forum?id=B1exrnCcF7,,,,
183,6.73,Residual Non-local Attention Networks for Image Restoration,"7,7,6",0.47,"5,3,3",https://openreview.net/forum?id=HkeGhoA5FX,,,,
184,6.73,Optimal Completion Distillation for Sequence Learning,"7,7,6",0.47,"4,4,3",https://openreview.net/forum?id=rkMW1hRqKX,,,,
185,6.73,Detecting Adversarial Examples Via Neural Fingerprinting,"5,9,6",1.7,"4,4,3",https://openreview.net/forum?id=SJekyhCctQ,,,,
186,6.73,Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer,"7,7,6",0.47,"4,4,3",https://openreview.net/forum?id=SJl2niR9KQ,,,,
187,6.73,Understanding Straight-Through Estimator in Training Activation Quantized Neural Nets,"7,7,6",0.47,"4,4,3",https://openreview.net/forum?id=Skh4jRcKQ,,,,
188,6.73,Meta-Learning For Stochastic Gradient MCMC,"7,7,6",0.47,"4,4,3",https://openreview.net/forum?id=HkeoOo09YX,,,,
189,6.73,Bayesian Modelling and Monte Carlo Inference for GAN,"6,5,9",1.7,"3,4,4",https://openreview.net/forum?id=H1l7bnR5Ym,,,,
190,6.73,Active Learning with Partial Feedback,"7,6,7",0.47,"4,3,4",https://openreview.net/forum?id=HJfSEnRqKQ,,,,
191,6.73,Learning to Make Analogies by Contrasting Abstract Relational Structure,"6,7,7",0.47,"3,3,5",https://openreview.net/forum?id=SylLYsCcFm,,,,
192,6.71,Global-to-local Memory Pointer Networks for Task-Oriented Dialogue,"8,8,5",1.41,"2,2,3",https://openreview.net/forum?id=ryxnHhRqFm,,,,
193,6.71,Structured Adversarial Attack: Towards General Implementation and Better Interpretability,"7,7,6",0.47,"2,3,2",https://openreview.net/forum?id=BkgzniCqY7,,,,
194,6.7,Marginal Policy Gradients: A Unified Family of Estimators for Bounded Action Spaces with Applications,"7,6,7",0.47,"3,3,4",https://openreview.net/forum?id=HkgqFiAcFm,,,,
195,6.7,ADef: an Iterative Algorithm to Construct Adversarial Deformations,"7,7,6",0.47,"4,3,3",https://openreview.net/forum?id=Hk4dFjR5K7,,,,
196,6.7,Towards the first adversarially robust neural network model on MNIST,"7,7,6",0.47,"4,3,3",https://openreview.net/forum?id=S1EHOsC9tX,,,,
197,6.7,AutoLoss: Learning Discrete Schedule for Alternate Optimization,"7,6,7",0.47,"4,3,3",https://openreview.net/forum?id=BJgK6iA5KX,,,,
198,6.7,Analyzing Inverse Problems with Invertible Neural Networks,"7,6,7",0.47,"5,3,2",https://openreview.net/forum?id=rJed6j0cKX,,,,
199,6.69,Learning Two-layer Neural Networks with Symmetric Inputs,"7,6,7",0.47,"4,4,5",https://openreview.net/forum?id=H1xipsA5K7,,,,
200,6.69,FlowQA: Grasping Flow in History for Conversational Machine Comprehension,"7,6,7",0.47,"5,4,4",https://openreview.net/forum?id=ByftGnR9KX,,,,
201,6.69,Learning Multimodal Graph-to-Graph Translation for Molecule Optimization,"7,7,6",0.47,"4,5,4",https://openreview.net/forum?id=B1xJAsA5F7,,,,
202,6.69,Learning to Infer and Execute 3D Shape Programs,"6,7,7",0.47,"4,5,4",https://openreview.net/forum?id=rylNH20qFQ,,,,
203,6.69,DyRep: Learning Representations over Dynamic Graphs,"5,7,8",1.25,"4,5,4",https://openreview.net/forum?id=HyePrhR5KX,,,,
204,6.69,Three Mechanisms of Weight Decay Regularization,"6,7,7",0.47,"4,4,5",https://openreview.net/forum?id=B1lz-3Rct7,,,,
205,6.69,Learning to Understand Goal Specifications by Modelling Reward,"7,7,6",0.47,"4,5,4",https://openreview.net/forum?id=H1xsSjC9Ym,,,,
206,6.67,Analysis of Quantized Models,"6,7,7",0.47,"4,4,4",https://openreview.net/forum?id=ryM_IoAqYX,,,,
207,6.67,Emergent Coordination Through Competition,"7,7,6",0.47,"3,3,3",https://openreview.net/forum?id=BkG8sjR5Km,,,,
208,6.67,Directed-Info GAIL: Learning Hierarchical Policies from Unsegmented Demonstrations using Directed Information,"6,6,8",0.94,"4,4,4",https://openreview.net/forum?id=BJeWUs05KQ,,,,
209,6.67,Graph HyperNetworks for Neural Architecture Search,"7,6,7",0.47,"4,4,4",https://openreview.net/forum?id=rkgW0oA9FX,,,,
210,6.67,Laplacian Networks: Bounding Indicator Function Smoothness for Neural Networks Robustness,"9,5,5",1.89,"5,3,4",https://openreview.net/forum?id=H1e8wsCqYX,,,,
211,6.67,SNAS: stochastic neural architecture search,"6,7,7",0.47,"4,4,4",https://openreview.net/forum?id=rylqooRqK7,,,,
212,6.67,Generating Multiple Objects at Spatially Distinct Locations,"5,8,7",1.25,"4,4,4",https://openreview.net/forum?id=H1edIiA9KQ,,,,
213,6.67,SUPERVISED POLICY UPDATE,"9,6,6",1.41,"2,4,3",https://openreview.net/forum?id=SJxTroR9F7,,,,
214,6.67,"Attention, Learn to Solve Routing Problems!","7,6,7",0.47,"5,5,5",https://openreview.net/forum?id=ByxBFsRqYm,,,,
215,6.67,Policy Transfer with Strategy Optimization,"7,7,6",0.47,"4,4,4",https://openreview.net/forum?id=H1g6osRcFQ,,,,
216,6.67,Autoencoder-based Music Translation,"8,6,6",0.94,"4,4,4",https://openreview.net/forum?id=HJGkisCcKm,,,,
217,6.67,Provable Online Dictionary Learning and Sparse Coding,"7,6,7",0.47,"2,2,2",https://openreview.net/forum?id=HJeu43ActQ,,,,
218,6.67,A Generative Model For Electron Paths,"8,4,8",1.89,"4,4,4",https://openreview.net/forum?id=r1x4BnCqKX,,,,
219,6.67,Contingency-Aware Exploration in Reinforcement Learning,"6,7,7",0.47,"3,2,4",https://openreview.net/forum?id=HyxGB2AcY7,,,,
220,6.67,AntisymmetricRNN: A Dynamical System View on Recurrent Neural Networks,"7,7,6",0.47,"5,5,5",https://openreview.net/forum?id=ryxepo0cFX,,,,
221,6.67,On the Turing Completeness of Modern Neural Network Architectures,"6,7,7",0.47,"2,2,2",https://openreview.net/forum?id=HyGBdo0qFm,,,,
222,6.67,Doubly Reparameterized Gradient Estimators for Monte Carlo Objectives,"7,7,6",0.47,"3,5,4",https://openreview.net/forum?id=HkG3e205K7,,,,
223,6.67,GO Gradient for Expectation-Based Objectives,"7,7,6",0.47,"4,4,4",https://openreview.net/forum?id=ryf6Fs09YX,,,,
224,6.67,Building Dynamic Knowledge Graphs from Text using Machine Reading Comprehension,"6,7,7",0.47,"4,4,4",https://openreview.net/forum?id=S1lhbnRqF7,,,,
225,6.67,Adaptivity of deep ReLU network for learning in Besov and mixed smooth Besov spaces: optimal rate and curse of dimensionality,"8,6,6",0.94,"2,2,2",https://openreview.net/forum?id=H1ebTsActm,,,,
226,6.67,Efficient Lifelong Learning with A-GEM,"7,6,7",0.47,"4,4,4",https://openreview.net/forum?id=Hkf2_sC5FX,,,,
227,6.67,No Training Required: Exploring Random Encoders for Sentence Classification,"7,5,8",1.25,"4,4,4",https://openreview.net/forum?id=BkgPajAcY7,,,,
228,6.67,Hierarchical RL Using an Ensemble of Proprioceptive Periodic Policies,"6,7,7",0.47,"4,5,3",https://openreview.net/forum?id=SJz1x20cFQ,,,,
229,6.67,Defensive Quantization: When Efficiency Meets Robustness,"7,6,7",0.47,"4,3,2",https://openreview.net/forum?id=ryetZ20ctX,,,,
230,6.67,Minimal Images in Deep Neural Networks: Fragile Object Recognition in Natural Images,"7,7,6",0.47,"4,4,4",https://openreview.net/forum?id=S1xNb2A9YX,,,,
231,6.67,RelGAN: Relational Generative Adversarial Networks for Text Generation,"6,8,6",0.94,"4,4,4",https://openreview.net/forum?id=rJedV3R5tm,,,,
232,6.67,Trellis Networks for Sequence Modeling,"7,6,7",0.47,"3,3,3",https://openreview.net/forum?id=HyeVtoRqtQ,,,,
233,6.67,Complement Objective Training,"5,8,7",1.25,"4,4,4",https://openreview.net/forum?id=HyM7AiA5YX,,,,
234,6.67,Phase-Aware Speech Enhancement with Deep Complex U-Net,"6,7,7",0.47,"4,4,4",https://openreview.net/forum?id=SkeRTsAcYm,,,,
235,6.67,Latent Convolutional Models,"6,7,7",0.47,"3,2,4",https://openreview.net/forum?id=HJGciiR5Y7,,,,
236,6.67,Adversarial Attacks on Graph Neural Networks via Meta Learning,"7,7,6",0.47,"4,4,4",https://openreview.net/forum?id=Bylnx209YX,,,,
237,6.67,Value Propagation Networks,"7,6,7",0.47,"3,3,3",https://openreview.net/forum?id=SJG6G2RqtX,,,,
238,6.67,ProxQuant: Quantized Neural Networks via Proximal Operators,"8,7,5",1.25,"4,4,4",https://openreview.net/forum?id=HyzMyhCcK7,,,,
239,6.67,Learning deep representations by mutual information estimation and maximization,"5,7,9",1.63,"5,4,3",https://openreview.net/forum?id=Bklr3j0cKX,,,,
240,6.67,Predicting the Generalization Gap in Deep Networks with Margin Distributions,"5,9,6",1.7,"4,4,4",https://openreview.net/forum?id=HJlQfnCqKX,,,,
241,6.67,Approximating CNNs with Bag-of-local-Features models works surprisingly well on ImageNet,"6,7,7",0.47,"4,4,4",https://openreview.net/forum?id=SkfMWhAqYQ,,,,
242,6.67,Universal Stagewise Learning for Non-Convex Problems with Convergence on Averaged Solutions,"8,6,6",0.94,"4,4,4",https://openreview.net/forum?id=Syx5V2CcFm,,,,
243,6.64,Adaptive Posterior Learning: few-shot learning with a surprise-based memory module,"6,7,7",0.47,"4,3,4",https://openreview.net/forum?id=ByeSdsC9Km,,,,
244,6.64,LayoutGAN: Generating Graphic Layouts with Wireframe Discriminator,"7,7,6",0.47,"4,3,4",https://openreview.net/forum?id=HJxB5sRcFQ,,,,
245,6.64,Deep reinforcement learning with relational inductive biases,"6,7,7",0.47,"4,3,4",https://openreview.net/forum?id=HkxaFoC9KQ,,,,
246,6.64,SPIGAN: Privileged Adversarial Learning from Simulation,"6,7,7",0.47,"5,5,4",https://openreview.net/forum?id=rkxoNnC5FQ,,,,
247,6.64,Information-Directed Exploration for Deep Reinforcement Learning,"6,7,7",0.47,"4,3,4",https://openreview.net/forum?id=Byx83s09Km,,,,
248,6.64,Do Deep Generative Models Know What They Don't Know?,"7,6,7",0.47,"4,4,3",https://openreview.net/forum?id=H1xwNhCcYm,,,,
249,6.64,Adaptive Estimators Show Information Compression in Deep Neural Networks,"7,6,7",0.47,"4,4,3",https://openreview.net/forum?id=SkeZisA5t7,,,,
250,6.64,PATE-GAN: Generating Synthetic Data with Differential Privacy Guarantees,"7,6,7",0.47,"4,4,3",https://openreview.net/forum?id=S1zk9iRqF7,,,,
251,6.64,A NOVEL VARIATIONAL FAMILY FOR HIDDEN NON-LINEAR MARKOV MODELS,"5,8,6",1.25,"3,5,3",https://openreview.net/forum?id=SJMO2iCct7,,,,
252,6.64,Generalized Tensor Models for Recurrent Neural Networks,"6,7,7",0.47,"4,3,4",https://openreview.net/forum?id=r1gNni0qtm,,,,
253,6.64,Hyperbolic Attention Networks,"6,7,7",0.47,"5,5,4",https://openreview.net/forum?id=rJxHsjRqFQ,,,,
254,6.62,Big-Little Net: An Efficient Multi-Scale Feature Representation for Visual and Speech Recognition,"7,6,7",0.47,"4,5,4",https://openreview.net/forum?id=HJMHpjC9Ym,,,,
255,6.62,Visual Semantic Navigation using Scene Priors,"7,6,7",0.47,"1,3,4",https://openreview.net/forum?id=HJeRkh05Km,,,,
256,6.62,Learning from Incomplete Data with Generative Adversarial Networks,"7,6,7",0.47,"4,5,4",https://openreview.net/forum?id=S1lDV3RcKm,,,,
257,6.62,Recall Traces: Backtracking Models for Efficient Reinforcement Learning,"7,7,6",0.47,"2,3,3",https://openreview.net/forum?id=HygsfnR9Ym,,,,
258,6.62,Deep Anomaly Detection with Outlier Exposure,"6,6,8",0.94,"5,4,4",https://openreview.net/forum?id=HyxCxhRcY7,,,,
259,6.62,Non-vacuous Generalization Bounds at the ImageNet Scale: a PAC-Bayesian Compression Approach,"6,6,8",0.94,"4,5,4",https://openreview.net/forum?id=BJgqqsAct7,,,,
260,6.62,Sample Efficient Adaptive Text-to-Speech,"7,7,6",0.47,"4,4,5",https://openreview.net/forum?id=rkzjUoAcFX,,,,
261,6.62,On the Convergence of A Class of Adam-Type Algorithms for Non-Convex Optimization,"7,7,6",0.47,"3,2,3",https://openreview.net/forum?id=H1x-x309tm,,,,
262,6.62,Learning Factorized Multimodal Representations,"7,7,6",0.47,"3,2,3",https://openreview.net/forum?id=rygqqsA9KX,,,,
263,6.62,Unsupervised Control Through Non-Parametric Discriminative Rewards,"8,5,7",1.25,"5,5,3",https://openreview.net/forum?id=r1eVMnA9K7,,,,
264,6.6,Improving Generalization and Stability of Generative Adversarial Networks,"7,7,6",0.47,"3,3,4",https://openreview.net/forum?id=ByxPYjC5KQ,,,,
265,6.6,Adv-BNN: Improved Adversarial Defense through Robust Bayesian Neural Network,"7,6,7",0.47,"3,4,3",https://openreview.net/forum?id=rk4Qso0cKm,,,,
266,6.6,Don't let your Discriminator be fooled,"7,7,6",0.47,"3,3,4",https://openreview.net/forum?id=HJE6X305Fm,,,,
267,6.6,Principled Deep Neural Network Training through Linear Programming,"6,6,8",0.94,"4,3,3",https://openreview.net/forum?id=HkMwHsCctm,,,,
268,6.6,Deep Layers as Stochastic Solvers,"7,6,8",0.82,"4,5,1",https://openreview.net/forum?id=ryxxCiRqYX,,,,
269,6.6,Whitening and Coloring transform for GANs,"7,7,6",0.47,"2,4,4",https://openreview.net/forum?id=S1x2Fj0qKQ,,,,
270,6.58,Query-Efficient Hard-label Black-box Attack: An Optimization-based Approach,"7,6,7",0.47,"3,5,4",https://openreview.net/forum?id=rJlk6iRqKX,,,,
271,6.57,DOM-Q-NET: Grounded RL on Structured Language,"7,7,6",0.47,"3,1,3",https://openreview.net/forum?id=HJgd1nAqFX,,,,
272,6.56,Per-Tensor Fixed-Point Quantization of the Back-Propagation Algorithm,"7,3,8",2.16,"3,2,4",https://openreview.net/forum?id=rkxaNjA9Ym,,,,
273,6.56,The Limitations of Adversarial Training and the Blind-Spot Attack,"7,7,6",0.47,"3,2,4",https://openreview.net/forum?id=HylTBhA5tQ,,,,
274,6.55,A rotation-equivariant convolutional neural network model of primary visual cortex,"7,5,8",1.25,"4,4,3",https://openreview.net/forum?id=H1fU8iAqKX,,,,
275,6.54,From Language to Goals: Inverse Reinforcement Learning for Vision-Based Instruction Following,"5,5,9",1.89,"4,4,5",https://openreview.net/forum?id=r1lq1hRqYQ,,,,
276,6.5,Harmonizing Maximum Likelihood with GANs for Multimodal Conditional Generation,"8,7,5",1.25,"4,3,5",https://openreview.net/forum?id=HJxyAjRcFX,,,,
277,6.5,M^3RL: Mind-aware Multi-agent Management Reinforcement Learning,"7,6,6",0.47,"4,3,1",https://openreview.net/forum?id=BkzeUiRcY7,,,,
278,6.5,"Learning Particle Dynamics for Manipulating Rigid Bodies, Deformable Objects, and Fluids","8,5,7",1.25,"3,4,3",https://openreview.net/forum?id=rJgbSn09Ym,,,,
279,6.5,CAMOU: Learning Physical Vehicle Camouflages to Adversarially Attack Detectors in the Wild,"4,8,7",1.7,"3,4,3",https://openreview.net/forum?id=SJgEl3A5tm,,,,
280,6.5,Theoretical Analysis of Auto Rate-Tuning by Batch Normalization,"7,7,6",0.47,"2,2,4",https://openreview.net/forum?id=rkxQ-nA9FX,,,,
281,6.5,Fluctuation-dissipation relations for stochastic gradient descent,"8,5,6",1.25,"5,4,3",https://openreview.net/forum?id=SkNksoRctQ,,,,
282,6.5,Toward Understanding the Impact of Staleness in Distributed Machine Learning,"4,9,7",2.05,"5,4,5",https://openreview.net/forum?id=BylQV305YQ,,,,
283,6.5,Learning Protein Structure with a Differentiable Simulator,"6,7,7,6",0.5,"5,5,3,3",https://openreview.net/forum?id=Byg3y3C9Km,,,,
284,6.5,Training for Faster Adversarial Robustness Verification via Inducing ReLU Stability,"8,7,5",1.25,"2,3,3",https://openreview.net/forum?id=BJfIVjAcKm,,,,
285,6.5,Large Scale Graph Learning From Smooth Signals,"7,5,7",0.94,"5,3,4",https://openreview.net/forum?id=ryGkSo0qYm,,,,
286,6.45,L2-Nonexpansive Neural Networks,"8,6,5",1.25,"4,4,3",https://openreview.net/forum?id=ByxGSsR9FQ,,,,
287,6.45,Verification of Non-Linear Specifications for Neural Networks,"7,5,7",0.94,"5,3,3",https://openreview.net/forum?id=HyeFAsRctQ,,,,
288,6.45,Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,"7,7,5",0.94,"4,4,3",https://openreview.net/forum?id=Hkg4W2AcFm,,,,
289,6.45,"On Tighter Generalization Bounds for Deep Neural Networks: CNNs, ResNets, and Beyond","5,7,7",0.94,"3,4,4",https://openreview.net/forum?id=SJzwvoCqF7,,,,
290,6.45,Large-Scale Answerer in Questioner's Mind for Visual Dialog Question Generation,"6,6,7",0.47,"4,2,5",https://openreview.net/forum?id=rkgT3jRct7,,,,
291,6.44,Learning-Based Frequency Estimation Algorithms,"7,6,6",0.47,"4,1,4",https://openreview.net/forum?id=r1lohoCqY7,,,,
292,6.43,Multi-Domain Adversarial Learning,"5,8,6",1.25,"4,5,5",https://openreview.net/forum?id=Sklv5iRqYX,,,,
293,6.42,Local Critic Training of Deep Neural Networks,"6,6,7",0.47,"3,4,5",https://openreview.net/forum?id=B1x-LjAcKX,,,,
294,6.42,From Hard to Soft: Understanding Deep Network Nonlinearities via Vector Quantization and Statistical Inference,"6,6,7",0.47,"3,4,5",https://openreview.net/forum?id=Syxt2jC5FX,,,,
295,6.4,Preventing Posterior Collapse with delta-VAEs,"6,7,6",0.47,"3,4,3",https://openreview.net/forum?id=BJe0Gn0cY7,,,,
296,6.4,DialogWAE: Multimodal Response Generation with Conditional Wasserstein Auto-Encoder,"7,7,5",0.94,"4,3,3",https://openreview.net/forum?id=BkgBvsC9FQ,,,,
297,6.4,Self-Tuning Networks: Bilevel Optimization of Hyperparameters using Structured Best-Response Functions,"7,6,6",0.47,"4,3,3",https://openreview.net/forum?id=r1eEG20qKQ,,,,
298,6.4,Excessive Invariance Causes Adversarial Vulnerability,"7,6,6",0.47,"4,4,2",https://openreview.net/forum?id=BkfbpsAcF7,,,,
299,6.4,Algorithmic Framework for Model-based Deep Reinforcement Learning with Theoretical Guarantees,"7,6,6",0.47,"4,4,2",https://openreview.net/forum?id=BJe1E2R5KX,,,,
300,6.4,Reinforcement Learning with Perturbed Rewards,"7,6,6",0.47,"4,3,3",https://openreview.net/forum?id=BkMWx309FX,,,,
301,6.4,NLProlog: Reasoning with Weak Unification for Natural Language Question Answering,"7,5,7",0.94,"3,3,4",https://openreview.net/forum?id=ByfXe2C5tm,,,,
302,6.38,Temporal Gaussian Mixture Layer for Videos,"6,6,7",0.47,"3,5,5",https://openreview.net/forum?id=Hyfg5o0qtm,,,,
303,6.38,MAE: Mutual Posterior-Divergence Regularization for Variational AutoEncoders,"7,6,6",0.47,"5,4,4",https://openreview.net/forum?id=Hke4l2AcKQ,,,,
304,6.38,BabyAI: First Steps Towards Grounded Language Learning With a Human In the Loop,"6,7,6",0.47,"4,5,4",https://openreview.net/forum?id=rJeXCo0cYX,,,,
305,6.38,Visceral Machines: Reinforcement Learning with Intrinsic Physiological Rewards,"6,6,7",0.47,"4,4,5",https://openreview.net/forum?id=SyNvti09KQ,,,,
306,6.38,Why do deep convolutional networks generalize so poorly to small image transformations?,"7,7,5",0.94,"5,4,4",https://openreview.net/forum?id=HJxYwiC5tm,,,,
307,6.38,Visual Reasoning by Progressive Module Networks,"6,7,6",0.47,"4,5,4",https://openreview.net/forum?id=B1fpDsAqt7,,,,
308,6.36,DHER: Hindsight Experience Replay for Dynamic Goals,"6,7,6",0.47,"4,4,3",https://openreview.net/forum?id=Byf5-30qFX,,,,
309,6.36,Diversity and Depth in Per-Example Routing Models,"7,6,6",0.47,"5,4,5",https://openreview.net/forum?id=BkxWJnC9tX,,,,
310,6.36,Model-Predictive Policy Learning with Uncertainty Regularization for Driving in Dense Traffic,"6,6,7",0.47,"5,4,5",https://openreview.net/forum?id=HygQBn0cYm,,,,
311,6.36,Multilingual Neural Machine Translation with Knowledge Distillation,"6,7,6",0.47,"3,4,4",https://openreview.net/forum?id=S1gUsoR9YX,,,,
312,6.36,Improved Gradient Estimators for Stochastic Discrete Variables,"7,6,6",0.47,"4,3,4",https://openreview.net/forum?id=S1lKSjRcY7,,,,
313,6.36,FUNCTIONAL VARIATIONAL BAYESIAN NEURAL NETWORKS,"7,6,6",0.47,"4,3,4",https://openreview.net/forum?id=rkxacs0qY7,,,,
314,6.36,Efficient Augmentation via Data Subsampling,"6,7,6",0.47,"4,4,3",https://openreview.net/forum?id=Byxpfh0cFm,,,,
315,6.36,Spreading vectors for similarity search,"6,7,6",0.47,"3,4,4",https://openreview.net/forum?id=SkGuG2R5tm,,,,
316,6.36,Discriminator Rejection Sampling,"7,6,6",0.47,"4,3,4",https://openreview.net/forum?id=S1GkToR5tm,,,,
317,6.36,Accumulation Bit-Width Scaling For Ultra-Low Precision Training Of Deep Networks,"6,6,7",0.47,"4,3,4",https://openreview.net/forum?id=BklMjsRqY7,,,,
318,6.36,Learning Disentangled Representations with Reference-Based Variational Autoencoders,"7,6,6",0.47,"4,3,4",https://openreview.net/forum?id=rkxraoRcF7,,,,
319,6.33,Measuring Compositionality in Representation Learning,"6,6,7",0.47,"4,4,4",https://openreview.net/forum?id=HJz05o0qK7,,,,
320,6.33,Dynamically Unfolding Recurrent Restorer: A Moving Endpoint Control Method for Image Restoration,"6,6,7",0.47,"3,5,4",https://openreview.net/forum?id=SJfZKiC5FX,,,,
321,6.33,Kernel RNN Learning (KeRNL),"5,7,6",0.82,"1,4,4",https://openreview.net/forum?id=ryGfnoC5KQ,,,,
322,6.33,Post Selection Inference with Incomplete Maximum Mean Discrepancy Estimator,"6,5,8",1.25,"4,4,4",https://openreview.net/forum?id=BkG5SjR5YQ,,,,
323,6.33,Max-MIG: an Information Theoretic Approach for Joint Learning from Crowds,"6,6,7",0.47,"4,4,4",https://openreview.net/forum?id=BJg9DoR9t7,,,,
324,6.33,Neural Graph Evolution: Automatic Robot Design,"5,8,6",1.25,"4,4,4",https://openreview.net/forum?id=BkgWHnR5tm,,,,
325,6.33,Revealing interpretable object representations from human behavior,"7,7,5",0.94,"4,4,4",https://openreview.net/forum?id=ryxSrhC9KX,,,,
326,6.33,Aligning Artificial Neural Networks to the Brain yields Shallow Recurrent Architectures,"5,7,7",0.94,"4,4,4",https://openreview.net/forum?id=BJeY6sR9KX,,,,
327,6.33,Attentive Neural Processes,"6,6,7",0.47,"4,4,4",https://openreview.net/forum?id=SkE6PjC9KX,,,,
328,6.33,Remember and Forget for Experience Replay,"7,6,6",0.47,"3,3,3",https://openreview.net/forum?id=Bye9LiR9YX,,,,
329,6.33,Synthetic Datasets for Neural Program Synthesis,"7,6,6",0.47,"3,4,2",https://openreview.net/forum?id=ryeOSnAqYm,,,,
330,6.33,Empirical Bounds on Linear Regions of Deep Rectifier Networks,"6,7,6",0.47,"4,4,4",https://openreview.net/forum?id=B1MAJhR5YX,,,,
331,6.33,Variational Autoencoder with Arbitrary Conditioning,"7,6,6",0.47,"3,3,3",https://openreview.net/forum?id=SyxtJh0qYm,,,,
332,6.33,Janossy Pooling: Learning Deep Permutation-Invariant Functions for Variable-Size Inputs,"7,4,8",1.7,"4,4,4",https://openreview.net/forum?id=BJluy2RcFm,,,,
333,6.33,RNNs implicitly implement tensor-product representations,"7,6,6",0.47,"4,4,4",https://openreview.net/forum?id=BJx0sjC5FX,,,,
334,6.33,DeepOBS: A Deep Learning Optimizer Benchmark Suite,"6,6,7",0.47,"4,4,4",https://openreview.net/forum?id=rJg6ssC5Y7,,,,
335,6.33,Generating Multi-Agent Trajectories using Programmatic Weak Supervision,"7,6,6",0.47,"3,3,3",https://openreview.net/forum?id=rkxw-hAcFQ,,,,
336,6.33,Individualized Controlled Continuous Communication Model for Multiagent Cooperative and Competitive Tasks,"7,6,6",0.47,"3,3,3",https://openreview.net/forum?id=rye7knCqK7,,,,
337,6.33,Characterizing Audio Adversarial Examples Using Temporal Dependency,"6,6,7",0.47,"3,3,3",https://openreview.net/forum?id=r1g4E3C9t7,,,,
338,6.33,Opportunistic Learning: Budgeted Cost-Sensitive Learning from Data Streams,"6,6,7",0.47,"4,4,4",https://openreview.net/forum?id=S1eOHo09KX,,,,
339,6.33,Are adversarial examples inevitable?,"7,8,4",1.7,"4,4,4",https://openreview.net/forum?id=r1lWUoA9FQ,,,,
340,6.33,Minimum Divergence vs. Maximum Margin: an Empirical Comparison on Seq2Seq Models,"5,7,7",0.94,"4,4,4",https://openreview.net/forum?id=H1xD9sR5Fm,,,,
341,6.31,Multilingual Neural Machine Translation With Soft Decoupled Encoding,"6,6,7",0.47,"5,4,4",https://openreview.net/forum?id=Skeke3C5Fm,,,,
342,6.31,Hierarchical Generative Modeling for Controllable Speech Synthesis,"8,6,5",1.25,"4,5,4",https://openreview.net/forum?id=rygkk305YQ,,,,
343,6.31,Feature-Wise Bias Amplification,"6,7,6",0.47,"4,4,5",https://openreview.net/forum?id=S1ecm2C9K7,,,,
344,6.31,DPSNet: End-to-end Deep Plane Sweep Stereo,"7,6,6",0.47,"4,5,4",https://openreview.net/forum?id=ryeYHi0ctQ,,,,
345,6.31,Multi-step Retriever-Reader Interaction for Scalable Open-domain Question Answering,"6,6,7",0.47,"5,4,4",https://openreview.net/forum?id=HkfPSh05K7,,,,
346,6.3,Lyapunov-based Safe Policy Optimization,"6,6,8,5",1.09,"2,2,3,3",https://openreview.net/forum?id=Syxgbh05tQ,,,,
347,6.3,Learning to Represent Edits,"7,6,6",0.47,"3,3,4",https://openreview.net/forum?id=BJl6AjC5F7,,,,
348,6.3,Single Shot Neural Architecture Search Via Direct Sparse Optimization,"6,6,7",0.47,"4,3,3",https://openreview.net/forum?id=ryxjH3R5KQ,,,,
349,6.3,Multiple-Attribute Text Rewriting,"7,6,6",0.47,"3,4,3",https://openreview.net/forum?id=H1g2NhC5KQ,,,,
350,6.3,On the Relation Between the Sharpest Directions of DNN Loss and the SGD Step Length,"6,6,7",0.47,"4,3,3",https://openreview.net/forum?id=SkgEaj05t7,,,,
351,6.3,Deep Bayesian Convolutional Networks with Many Channels are Gaussian Processes,"4,7,6",1.25,"1,5,4",https://openreview.net/forum?id=B1g30j0qF7,,,,
352,6.3,Hierarchical Visuomotor Control of Humanoids,"5,8,6",1.25,"3,3,4",https://openreview.net/forum?id=BJfYvo09Y7,,,,
353,6.3,Analysing Mathematical Reasoning Abilities of Neural Models,"7,6,6",0.47,"3,3,4",https://openreview.net/forum?id=H1gR5iR5FX,,,,
354,6.3,Monge-Amp\`ere Flow for Generative Modeling,"7,6,6",0.47,"3,4,3",https://openreview.net/forum?id=rkeUrjCcYQ,,,,
355,6.29,The Implicit Preference Information in an Initial State,"6,7,5,7",0.83,"4,3,3,4",https://openreview.net/forum?id=rkevMnRqYQ,,,,
356,6.29,ROBUST ESTIMATION VIA GENERATIVE ADVERSARIAL NETWORKS,"7,5,7",0.94,"4,5,5",https://openreview.net/forum?id=BJgRDjR9tQ,,,,
